orias,siren,nom
824536635,824536635,
824758734,824758734,
824509061,824509061,
824779912,824779912,
491393575,491393575,
823126842,823126842,
821697505,821697505,
822330619,822330619,
824071211,824071211,
822059002,822059002,
811340264,811340264,
824715080,824715080,
822825980,822825980,
824891311,824891311,
824448138,824448138,
824859169,824859169,
821403060,821403060,
450035852,450035852,
822310082,822310082,
822428108,822428108,
822179768,822179768,
822653481,822653481,
822565487,822565487,
799160189,799160189,
317686061,317686061,
824203624,824203624,
828425926,828425926,
823577929,823577929,
824241285,824241285,
822839023,822839023,
822880688,822880688,
822983557,822983557,
822496808,822496808,
822971925,822971925,
801677949,801677949,
821986494,821986494,
824239123,824239123,
824355242,824355242,
824206445,824206445,
822834933,822834933,
822077517,822077517,
823003033,823003033,
823641386,823641386,
498426501,498426501,
823985213,823985213,
824432199,824432199,
824613046,824613046,
824445357,824445357,
430282095,430282095,
824367858,824367858,
824631113,824631113,
483131157,483131157,
435299706,435299706,
824209019,824209019,
823042254,823042254,
822967014,822967014,
822974903,822974903,
824199913,824199913,
823081534,823081534,
437574452,437574452,
823941505,823941505,
789351053,789351053,
822859211,822859211,
821859220,821859220,
821559366,821559366,
822817193,822817193,
822787081,822787081,
822880514,822880514,
822438479,822438479,
822100665,822100665,
822970513,822970513,
823040001,823040001,
508108438,508108438,
822708079,822708079,
807901301,807901301,
823098249,823098249,
821511771,821511771,
477762629,477762629,
823360094,823360094,
823304498,823304498,
818704678,818704678,
824147169,824147169,
822961116,822961116,
821829280,821829280,
824357909,824357909,
824331722,824331722,
824138440,824138440,
824507511,824507511,
824850556,824850556,
824130801,824130801,
823515267,823515267,
821404506,821404506,
823558168,823558168,
822778031,822778031,
823387147,823387147,
823224472,823224472,
823585682,823585682,
824117568,824117568,
800470429,800470429,
823171210,823171210,
824520704,824520704,
823457312,823457312,
822563466,822563466,
810283564,810283564,
823364484,823364484,
823226584,823226584,
821461894,821461894,
822534038,822534038,
823003660,823003660,
824638837,824638837,
820153310,820153310,
823274188,823274188,
823288014,823288014,
488035999,488035999,
489843789,489843789,
823431002,823431002,
483131454,483131454,
823197066,823197066,
824121073,824121073,
823680798,823680798,
823506787,823506787,
823764576,823764576,
824840649,824840649,
825238736,825238736,
825333008,825333008,
824530802,824530802,
523420628,523420628,
818688699,818688699,
823720081,823720081,
823646484,823646484,
824269831,824269831,
821054806,821054806,
824142285,824142285,
823792445,823792445,
823868229,823868229,
823842323,823842323,
823748017,823748017,
823067335,823067335,
823951215,823951215,
523281004,523281004,
823710371,823710371,
823972476,823972476,
823630496,823630496,
823663257,823663257,
824020549,824020549,
823802558,823802558,
812867828,812867828,
821006558,821006558,
823750237,823750237,
817671480,817671480,
512843285,512843285,
828205302,828205302,
824039119,824039119,
824382626,824382626,
824484737,824484737,
824599104,824599104,
824487581,824487581,
521656280,521656280,
791498538,791498538,
824086375,824086375,
824287452,824287452,
824253447,824253447,
820413607,820413607,
824351829,824351829,
824242531,824242531,
824061022,824061022,
808875819,808875819,
337899066,337899066,
823602602,823602602,
823942263,823942263,
433911799,433911799,
818726952,818726952,
822615530,822615530,
824423693,824423693,
823925102,823925102,
823477245,823477245,
824059950,824059950,
813414836,813414836,
824659304,824659304,
339019275,339019275,
824608004,824608004,
823890835,823890835,
823812086,823812086,
824170146,824170146,
824609515,824609515,
822961611,822961611,
824744114,824744114,
824687073,824687073,
822922548,822922548,
824685853,824685853,
824432538,824432538,
524397841,524397841,
824938294,824938294,
817949555,817949555,
822817797,822817797,
823888367,823888367,
824493340,824493340,
824619290,824619290,
443242953,443242953,
823717152,823717152,
824524961,824524961,
824488076,824488076,
824342828,824342828,
824430201,824430201,
534693114,534693114,
825008204,825008204,
824984645,824984645,
823798699,823798699,
448001883,448001883,
824746069,824746069,
500120555,500120555,
824917462,824917462,
825077886,825077886,
824337513,824337513,
503041733,503041733,
824800569,824800569,
820074375,820074375,
824810063,824810063,
825177728,825177728,
825041619,825041619,
828898072,828898072,
481884625,481884625,
828100420,828100420,
487782203,487782203,
523592517,523592517,
825028160,825028160,
825104714,825104714,
825015563,825015563,
825285422,825285422,
827715897,827715897,
825282270,825282270,
829038389,829038389,
823663539,823663539,
823985866,823985866,
825295876,825295876,
827491960,827491960,
824926950,824926950,
485398663,485398663,
822705851,822705851,
823839006,823839006,
821233673,821233673,
823739768,823739768,
824975049,824975049,
824168751,824168751,
825282841,825282841,
824930820,824930820,
825255797,825255797,
827447467,827447467,
824809941,824809941,
827464777,827464777,
825392426,825392426,
825395494,825395494,
752236877,752236877,
827653817,827653817,
501592679,501592679,
753886092,753886092,
825098353,825098353,
824774350,824774350,
825043375,825043375,
492660535,492660535,
827680877,827680877,
821879277,821879277,
822401717,822401717,
824604912,824604912,
824971881,824971881,
825261522,825261522,
519591804,519591804,
825395676,825395676,
827601154,827601154,
821899226,821899226,
818345639,818345639,
827784927,827784927,
825189608,825189608,
819730854,819730854,
789911062,789911062,
827786526,827786526,
827565573,827565573,
824883623,824883623,
824261564,824261564,
511379513,511379513,
827778069,827778069,
825337207,825337207,
824968291,824968291,
827664350,827664350,
829632595,829632595,
829742030,829742030,
830176020,830176020,
828069971,828069971,
825226749,825226749,
822875365,822875365,
824946099,824946099,
828193383,828193383,
823866215,823866215,
828084988,828084988,
827488024,827488024,
824761639,824761639,
827963901,827963901,
823320064,823320064,
824197255,824197255,
824359699,824359699,
823499298,823499298,
824963003,824963003,
827500109,827500109,
827757147,827757147,
827563263,827563263,
822455077,822455077,
534247358,534247358,
502428253,502428253,
823061817,823061817,
825322639,825322639,
804183713,804183713,
828273193,828273193,
828294058,828294058,
828091892,828091892,
824793301,824793301,
828055053,828055053,
827965039,827965039,
828100503,828100503,
828342501,828342501,
828554642,828554642,
825250368,825250368,
828025874,828025874,
828547836,828547836,
828381434,828381434,
820856086,820856086,
451367106,451367106,
808149363,808149363,
827606690,827606690,
344748041,344748041,
827931981,827931981,
828244434,828244434,
827888595,827888595,
830622809,830622809,
829813047,829813047,
828520247,828520247,
830271888,830271888,
828635482,828635482,
828471144,828471144,
828707372,828707372,
828406389,828406389,
827894411,827894411,
827838830,827838830,
828466805,828466805,
828850784,828850784,
828836965,828836965,
829832781,829832781,
829737592,829737592,
821654779,821654779,
819198904,819198904,
828328344,828328344,
828728436,828728436,
828467449,828467449,
830458162,830458162,
827520172,827520172,
828029025,828029025,
828503201,828503201,
830035010,830035010,
484014410,484014410,
814081592,814081592,
828855221,828855221,
830310157,830310157,
830176293,830176293,
440728871,440728871,
818496788,818496788,
830537395,830537395,
829059385,829059385,
828587121,828587121,
827984998,827984998,
828886986,828886986,
828182717,828182717,
828960211,828960211,
481746949,481746949,
829121151,829121151,
829279884,829279884,
824631949,824631949,
828818146,828818146,
828719773,828719773,
827686551,827686551,
829199264,829199264,
824336457,824336457,
829346949,829346949,
829486695,829486695,
828881516,828881516,
829966985,829966985,
830020798,830020798,
508854890,508854890,
829949163,829949163,
830522652,830522652,
752770768,752770768,
830501888,830501888,
829762715,829762715,
830345930,830345930,
830336061,830336061,
830777629,830777629,
825246325,825246325,
830036950,830036950,
830428561,830428561,
829643923,829643923,
829383561,829383561,
829500503,829500503,
830847505,830847505,
829520949,829520949,
830334975,830334975,
829385327,829385327,
831159033,831159033,
830985503,830985503,
821849353,821849353,
832106207,832106207,
831644430,831644430,
830747523,830747523,
829666551,829666551,
829643972,829643972,
824219687,824219687,
828262766,828262766,
824686968,824686968,
829646306,829646306,
830463378,830463378,
829201292,829201292,
829669035,829669035,
828978296,828978296,
829810027,829810027,
829046176,829046176,
829919174,829919174,
828339234,828339234,
824875371,824875371,
829640069,829640069,
829444934,829444934,
829932128,829932128,
829299866,829299866,
829598846,829598846,
829991389,829991389,
829229889,829229889,
829659457,829659457,
829658905,829658905,
829727254,829727254,
829934504,829934504,
830080198,830080198,
829777218,829777218,
829012715,829012715,
828996744,828996744,
830184792,830184792,
824645329,824645329,
828848796,828848796,
830135604,830135604,
790020606,790020606,
477901292,477901292,
494427016,494427016,
829273572,829273572,
822832812,822832812,
828501478,828501478,
829898089,829898089,
829068790,829068790,
829579655,829579655,
511546293,511546293,
831418355,831418355,
830043535,830043535,
827931692,827931692,
830106761,830106761,
829745579,829745579,
830236444,830236444,
830018891,830018891,
829958040,829958040,
830241352,830241352,
830038659,830038659,
788539237,788539237,
830054656,830054656,
828621912,828621912,
828857425,828857425,
829291145,829291145,
828809996,828809996,
824811095,824811095,
790099709,790099709,
829543388,829543388,
821004728,821004728,
830271094,830271094,
830140604,830140604,
830039426,830039426,
388450132,388450132,
433260916,433260916,
829856491,829856491,
830484846,830484846,
830633459,830633459,
830452926,830452926,
830202347,830202347,
829961523,829961523,
830411021,830411021,
830508917,830508917,
830673638,830673638,
830698916,830698916,
830422945,830422945,
832249106,832249106,
830684023,830684023,
830410734,830410734,
830468096,830468096,
830797049,830797049,
503074296,503074296,
829888122,829888122,
830384350,830384350,
830668968,830668968,
830752085,830752085,
830922092,830922092,
828957662,828957662,
830706156,830706156,
830041539,830041539,
801932476,801932476,
830755302,830755302,
830890125,830890125,
830701348,830701348,
831013388,831013388,
829638667,829638667,
815035266,815035266,
830815130,830815130,
503931883,503931883,
830674040,830674040,
830168183,830168183,
831027933,831027933,
829742162,829742162,
752857144,752857144,
831246327,831246327,
831101589,831101589,
824251060,824251060,
823566344,823566344,
830731535,830731535,
381950641,381950641,
830292660,830292660,
828511204,828511204,
400208773,400208773,
830870507,830870507,
831050158,831050158,
831122841,831122841,
830766705,830766705,
517771978,517771978,
520072984,520072984,
823298294,823298294,
830890562,830890562,
831074067,831074067,
831323688,831323688,
831309372,831309372,
831484274,831484274,
831433941,831433941,
831270335,831270335,
830833752,830833752,
831402250,831402250,
804946101,804946101,
831668660,831668660,
819334202,819334202,
815292578,815292578,
