orias,siren,nom
904329232,904329232,
904683711,904683711,
904606795,904606795,
902844034,902844034,
904818002,904818002,
908101884,908101884,
904588969,904588969,
903857282,903857282,
908017916,908017916,
908163843,908163843,
908733280,908733280,
539086470,539086470,
908163819,908163819,
908159833,908159833,
907867659,907867659,
881999098,881999098,
908499544,908499544,
908264294,908264294,
499124824,499124824,
908557960,908557960,
908243272,908243272,
908154859,908154859,
445124688,445124688,
491390464,491390464,
810643353,810643353,
903021541,903021541,
908310899,908310899,
897724357,897724357,
903814952,903814952,
887988699,887988699,
904302254,904302254,
903926392,903926392,
904409554,904409554,
900969585,900969585,
899323299,899323299,
897544425,897544425,
399412048,399412048,
908265408,908265408,
904596715,904596715,
903180214,903180214,
903307874,903307874,
902143700,902143700,
903411247,903411247,
903889293,903889293,
904244837,904244837,
904690542,904690542,
904677564,904677564,
904411576,904411576,
850536947,850536947,
901581249,901581249,
904832797,904832797,
904688926,904688926,
821118510,821118510,
904145331,904145331,
904682465,904682465,
904381175,904381175,
904878543,904878543,
904583960,904583960,
904620598,904620598,
904873650,904873650,
904924347,904924347,
903609527,903609527,
907847354,907847354,
904694494,904694494,
904551900,904551900,
902984558,902984558,
904944071,904944071,
904782620,904782620,
905004610,905004610,
421742768,421742768,
492741236,492741236,
905096012,905096012,
904704525,904704525,
909311649,909311649,
483306940,483306940,
488087719,488087719,
905205449,905205449,
904328291,904328291,
904225901,904225901,
904143278,904143278,
901384370,901384370,
904979010,904979010,
908179559,908179559,
903659712,903659712,
907974216,907974216,
453624579,453624579,
900807058,900807058,
895400828,895400828,
904055530,904055530,
904578325,904578325,
903863983,903863983,
539804310,539804310,
905066965,905066965,
904494333,904494333,
905205506,905205506,
828405316,828405316,
904692399,904692399,
907698351,907698351,
905133591,905133591,
903105641,903105641,
904167897,904167897,
520821505,520821505,
904159241,904159241,
805160173,805160173,
905228185,905228185,
907472096,907472096,
904199627,904199627,
907472310,907472310,
902346899,902346899,
905363347,905363347,
904396058,904396058,
905102539,905102539,
907798730,907798730,
907526412,907526412,
907851000,907851000,
907970677,907970677,
844923391,844923391,
801181678,801181678,
907710693,907710693,
907467930,907467930,
902256098,902256098,
534634399,534634399,
890381858,890381858,
903715852,903715852,
904459567,904459567,
905137972,905137972,
900142712,900142712,
904140092,904140092,
905385787,905385787,
904435666,904435666,
853821429,853821429,
803664697,803664697,
881144752,881144752,
841641392,841641392,
851294538,851294538,
907931091,907931091,
907902043,907902043,
907714489,907714489,
907931448,907931448,
907879902,907879902,
810956573,810956573,
502592058,502592058,
907897581,907897581,
908090285,908090285,
907792964,907792964,
908252885,908252885,
908291404,908291404,
904724218,904724218,
907735906,907735906,
904869930,904869930,
908157050,908157050,
905213138,905213138,
904182235,904182235,
907804843,907804843,
908414220,908414220,
908397185,908397185,
908188782,908188782,
905266953,905266953,
908223589,908223589,
898262886,898262886,
905409041,905409041,
880767959,880767959,
909210114,909210114,
907459739,907459739,
904639416,904639416,
903390961,903390961,
900590407,900590407,
905252847,905252847,
903115632,903115632,
904649191,904649191,
907457998,907457998,
493845820,493845820,
904696861,904696861,
901767756,901767756,
905320784,905320784,
907616452,907616452,
904594900,904594900,
908027196,908027196,
907705537,907705537,
444617278,444617278,
907949747,907949747,
908047467,908047467,
908047475,908047475,
905253399,905253399,
902208966,902208966,
908637812,908637812,
908006380,908006380,
908718521,908718521,
909297855,909297855,
905148565,905148565,
815079140,815079140,
908785702,908785702,
352776819,352776819,
904945037,904945037,
908741481,908741481,
908120157,908120157,
911232809,911232809,
912554797,912554797,
908670839,908670839,
905027322,905027322,
905355020,905355020,
908561657,908561657,
908086572,908086572,
908826829,908826829,
890871270,890871270,
908981632,908981632,
902854181,902854181,
790233845,790233845,
901633990,901633990,
905166864,905166864,
893353847,893353847,
907662878,907662878,
908131261,908131261,
908309529,908309529,
907630818,907630818,
908466469,908466469,
901525469,901525469,
898581327,898581327,
908769896,908769896,
908841869,908841869,
908749930,908749930,
908759103,908759103,
908890288,908890288,
907645089,907645089,
908620537,908620537,
884996810,884996810,
908867732,908867732,
891617235,891617235,
908977630,908977630,
911913168,911913168,
911537884,911537884,
907899512,907899512,
909191249,909191249,
909298101,909298101,
905024162,905024162,
904964582,904964582,
908562127,908562127,
910320837,910320837,
910515469,910515469,
912022449,912022449,
521843805,521843805,
518293683,518293683,
911987741,911987741,
912131216,912131216,
911854933,911854933,
505024844,505024844,
822496204,822496204,
905109633,905109633,
909240822,909240822,
908974884,908974884,
908651300,908651300,
902119510,902119510,
908428642,908428642,
909515108,909515108,
907510499,907510499,
908572555,908572555,
834180671,834180671,
895330900,895330900,
813011202,813011202,
891842932,891842932,
891216749,891216749,
905018479,905018479,
881899264,881899264,
897645974,897645974,
904322666,904322666,
908539232,908539232,
487497596,487497596,
908506884,908506884,
904199718,904199718,
908617616,908617616,
902127695,902127695,
848979613,848979613,
908493349,908493349,
901663500,901663500,
908935851,908935851,
901091793,901091793,
909155848,909155848,
908311830,908311830,
908587892,908587892,
897990537,897990537,
908931009,908931009,
909295941,909295941,
907825814,907825814,
908185614,908185614,
847845559,847845559,
909169658,909169658,
907650634,907650634,
797417292,797417292,
907887129,907887129,
909360182,909360182,
908832033,908832033,
907715494,907715494,
909520140,909520140,
908993090,908993090,
909338790,909338790,
909335127,909335127,
909738163,909738163,
904638954,904638954,
909069981,909069981,
909765141,909765141,
907789994,907789994,
907725279,907725279,
903488054,903488054,
909825663,909825663,
909566416,909566416,
909862138,909862138,
909798530,909798530,
